"jugador","edad","posicion","all_stars","partidos_jugados","partidos_titular","tiros_anotados_aj","tiros_intentados_aj","triples_anotados_aj","tripes_intentados_aj","tiros_2_anotados_aj","tiros_2_intentados_aj","tl_anotados_aj","tl_intentados_aj","ro_aj","rd_aj","rebotes_aj","asistencias_aj","robos_aj","tapones_aj","perdidas_aj","faltas_aj","puntos_aj"
"Svi Mykhailiuk",25,"SF",0,32,8,0.451606177685834,1.01611389979313,0.24462001291316,0.583324646177536,0.206986164772674,0.432789253615591,0.150535392561945,0.225803088842917,0.0940846203512155,0.225803088842917,0.319887709194133,0.319887709194133,0.0940846203512155,0.0188169240702431,0.150535392561945,0.131718468491702,1.29836776084677
"T.J. McConnell",30,"PG",0,75,6,0.572565855976278,1.03965905427272,0.0452025675770746,0.120540180205532,0.512295765873512,0.934186396592875,0.120540180205532,0.135607702731224,0.0904051351541491,0.376688063142288,0.467093198296437,0.798578693861651,0.165742747782607,0.0150675225256915,0.286282927988139,0.210945315359681,1.31087445973516
"T.J. Warren",29,"PF-SF",0,42,0,0.539942538980701,1.11472008047629,0.0870875062872099,0.278680020119072,0.452855032693491,0.836040060357215,0.121922508802094,0.139340010059536,0.104505007544652,0.400602528921165,0.505107536465817,0.17417501257442,0.0870875062872099,0.0522525037723259,0.0870875062872099,0.26126251886163,1.30631259430815
"Taj Gibson",37,"C",0,49,2,0.315654079017268,0.631308158034536,0.0485621660026566,0.121405415006642,0.29137299601594,0.509902743027894,0.14568649800797,0.218529747011955,0.169967581009298,0.29137299601594,0.461340577025238,0.169967581009298,0.0728432490039849,0.0485621660026566,0.121405415006642,0.412778411022581,0.825556822045162
"Talen Horton-Tucker",22,"SG",0,65,20,0.604752709243162,1.42116886672143,0.136069359579711,0.46868334966345,0.46868334966345,0.95248551705798,0.287257536890502,0.393089261008055,0.0907129063864743,0.393089261008055,0.483802167394529,0.574515073781004,0.0907129063864743,0.0604752709243162,0.287257536890502,0.257019901428344,1.61771349722546
"Tari Eason",21,"PF",0,82,5,0.521332795960807,1.15851732435735,0.101370265881268,0.304110797643804,0.419962530079539,0.868887993268011,0.188259065208069,0.260666397980403,0.347555197307205,0.535814262515274,0.868887993268011,0.159296132099135,0.173777598653602,0.0868887993268011,0.173777598653602,0.333073730752738,1.34677638956542
"Taurean Prince",28,"PF",0,54,4,0.468843784517718,0.994517118673947,0.198903423734789,0.511465946746602,0.269940360782928,0.483051171927346,0.170488648915534,0.198903423734789,0.0426221622288835,0.312562523011812,0.340977297831068,0.227318198554045,0.0710369370481391,0.0426221622288835,0.184696036325162,0.32676991042144,1.29287225427613
"Terance Mann",26,"SG",0,81,36,0.468377500332834,0.895427574165713,0.137758088333187,0.330619411999648,0.330619411999648,0.551032353332746,0.151533897166505,0.20663713249978,0.137758088333187,0.344395220832966,0.468377500332834,0.316843603166329,0.0688790441665933,0.041327426499956,0.137758088333187,0.247964558999736,1.21227117733204
"Terence Davis",25,"SG",0,64,5,0.484795382726862,1.1513890339763,0.28279730659067,0.767592689317532,0.201998076136193,0.383796344658766,0.100999038068096,0.141398653295335,0.0605994228408578,0.383796344658766,0.444395767499624,0.201998076136193,0.141398653295335,0.0403996152272385,0.161598460908954,0.323196921817908,1.35338711011249
"Terrence Ross",31,"SG",0,63,9,0.469471485652884,1.0856528105723,0.22006475889979,0.601510340992758,0.249406726753095,0.484142469579537,0.0586839357066106,0.0733549196332632,0.0440129517799579,0.308090662459705,0.352103614239663,0.22006475889979,0.0880259035599158,0.0293419678533053,0.102696887486568,0.22006475889979,1.21769166591217
"Terry Rozier",28,"SG",0,63,63,0.793659444246807,1.92309788413649,0.264553148082269,0.814009686406981,0.529106296164538,1.09891307664943,0.284903390242443,0.356129237803054,0.0814009686406982,0.33577899564288,0.417179964283578,0.518931175084451,0.122101452961047,0.0305253632402618,0.213677542681833,0.193327300521658,2.14695054789841
"Terry Taylor",23,"PF",0,31,2,0.344315216257464,0.63565886078301,0.0529715717319175,0.158914715195753,0.291343644525546,0.476744145587258,0.0529715717319175,0.105943143463835,0.238372072793629,0.158914715195753,0.397286787989382,0.0794573575978763,0.0264857858659588,0.0529715717319175,0.0794573575978763,0.21188628692767,0.768087790112804
"Thaddeus Young",34,"PF",0,54,9,0.374647715966566,0.693098274538148,0.0187323857983283,0.11239431478997,0.355915330168238,0.561971573949849,0.056197157394985,0.0936619289916416,0.243521015378268,0.33718294436991,0.580703959748178,0.262253401176596,0.187323857983283,0.0187323857983283,0.149859086386627,0.299718172773253,0.824224975126446
"Thanasis Antetokounmpo",30,"PF",0,37,0,0.168488361520748,0.404372067649796,0,0.0673953446082993,0.168488361520748,0.336976723041496,0.101093016912449,0.202186033824898,0.134790689216599,0.269581378433197,0.404372067649796,0.134790689216599,0.0336976723041496,0.0336976723041496,0.101093016912449,0.202186033824898,0.471767412258095
"Theo Pinson",27,"SG",0,40,1,0.218101176644228,0.599778235771626,0.163575882483171,0.436202353288455,0.0545252941610569,0.163575882483171,0.0817879412415853,0.0817879412415853,0.0817879412415853,0.35441441204687,0.436202353288455,0.327151764966341,0.0545252941610569,0,0.0817879412415853,0.245363823724756,0.654303529932683
